number of points, dim, chunkSize, time
2, 2048, 2048, 0.010656
2, 2048, 4096, 0.011488
2, 2048, 8192, 0.010432
2, 4096, 32, 0.012640
2, 4096, 64, 0.012832
2, 4096, 128, 0.012384
2, 4096, 256, 0.012032
2, 4096, 512, 0.011968
2, 4096, 1024, 0.011840
2, 4096, 2048, 0.012032
2, 4096, 4096, 0.013216
2, 4096, 8192, 0.012224
2, 8192, 32, 0.015808
2, 8192, 64, 0.015520
2, 8192, 128, 0.016096
2, 8192, 256, 0.015904
2, 8192, 512, 0.016032
2, 8192, 1024, 0.015616
2, 8192, 2048, 0.031136
2, 8192, 4096, 0.015456
2, 8192, 8192, 0.016032
2, 16384, 32, 0.022560
2, 16384, 64, 0.022432
2, 16384, 128, 0.021792
2, 16384, 256, 0.022528
2, 16384, 512, 0.021952
2, 16384, 1024, 0.022336
2, 16384, 2048, 0.021952
2, 16384, 4096, 0.021952
2, 16384, 8192, 0.021728
2, 32768, 32, 0.035424
2, 32768, 64, 0.035296
2, 32768, 128, 0.035136
2, 32768, 256, 0.035424
2, 32768, 512, 0.034688
2, 32768, 1024, 0.035392
2, 32768, 2048, 0.035008
2, 32768, 4096, 0.034464
2, 32768, 8192, 0.035200
4, 32, 4096, 0.014048
4, 32, 8192, 0.017120
4, 64, 2048, 0.010560
4, 64, 4096, 0.012192
4, 64, 8192, 0.014368
4, 128, 1024, 0.010400
4, 128, 2048, 0.008768
4, 128, 4096, 0.008992
4, 128, 8192, 0.008736
4, 256, 512, 0.010912
4, 256, 1024, 0.009184
4, 256, 2048, 0.008736
4, 256, 4096, 0.008608
4, 256, 8192, 0.008960
4, 512, 256, 0.011616
4, 512, 512, 0.008768
4, 512, 1024, 0.008608
4, 512, 2048, 0.009120
4, 512, 4096, 0.008928
4, 512, 8192, 0.008864
4, 1024, 128, 0.010720
4, 1024, 256, 0.010400
4, 1024, 512, 0.010400
4, 1024, 1024, 0.010144
4, 1024, 2048, 0.009600
4, 1024, 4096, 0.010592
4, 1024, 8192, 0.010112
4, 2048, 64, 0.011168
4, 2048, 128, 0.010848
4, 2048, 256, 0.010496
4, 2048, 512, 0.010848
4, 2048, 1024, 0.010944
4, 2048, 2048, 0.010208
4, 2048, 4096, 0.011136
4, 2048, 8192, 0.011008
4, 4096, 32, 0.012320
4, 4096, 64, 0.012256
4, 4096, 128, 0.012608
4, 4096, 256, 0.012480
4, 4096, 512, 0.012384
4, 4096, 1024, 0.012736
4, 4096, 2048, 0.012384
4, 4096, 4096, 0.012608
4, 4096, 8192, 0.012256
4, 8192, 32, 0.016256
4, 8192, 64, 0.015680
4, 8192, 128, 0.015712
4, 8192, 256, 0.015616
4, 8192, 512, 0.016160
4, 8192, 1024, 0.015200
4, 8192, 2048, 0.015520
4, 8192, 4096, 0.015232
4, 8192, 8192, 0.015488
4, 16384, 32, 0.022784
4, 16384, 64, 0.022464
4, 16384, 128, 0.022880
4, 16384, 256, 0.022624
4, 16384, 512, 0.022464
4, 16384, 1024, 0.022528
4, 16384, 2048, 0.022336
4, 16384, 4096, 0.022240
4, 16384, 8192, 0.021920
4, 32768, 32, 0.035584
4, 32768, 64, 0.035488
4, 32768, 128, 0.035360
4, 32768, 256, 0.035616
4, 32768, 512, 0.035968
4, 32768, 1024, 0.035776
4, 32768, 2048, 0.035680
4, 32768, 4096, 0.035936
4, 32768, 8192, 0.035264
8, 32, 4096, 0.038592
8, 32, 8192, 0.034112
8, 64, 2048, 0.015808
8, 64, 4096, 0.015648
8, 64, 8192, 0.015456
8, 128, 1024, 0.012512
8, 128, 2048, 0.010528
8, 128, 4096, 0.010528
8, 128, 8192, 0.009856
8, 256, 512, 0.010080
8, 256, 1024, 0.008576
8, 256, 2048, 0.008800
8, 256, 4096, 0.008896
8, 256, 8192, 0.008928
8, 512, 256, 0.012000
8, 512, 512, 0.009120
8, 512, 1024, 0.008832
8, 512, 2048, 0.009120
8, 512, 4096, 0.008000
8, 512, 8192, 0.008864
8, 1024, 128, 0.009920
8, 1024, 256, 0.009984
8, 1024, 512, 0.009984
8, 1024, 1024, 0.010176
8, 1024, 2048, 0.010016
